channel,total_clicks,total_conversions,cvr_percent,unique_ips,clicks_per_ip,risk_category
3,36,0,0,33,1.09,Low Risk
5,1,0,0,1,1,Low Risk
13,8,0,0,8,1,Low Risk
17,11,0,0,11,1,Low Risk
19,61,0,0,61,1,Low Risk
21,20,4,20,20,1,Low Risk
24,4,0,0,4,1,Low Risk
30,10,0,0,8,1.25,Low Risk
101,119,2,1.6807,113,1.05,Low Risk
105,73,0,0,73,1,Low Risk
107,448,1,0.2232,428,1.05,Medium Risk
110,16,1,6.25,16,1,Low Risk
111,35,0,0,34,1.03,Low Risk
113,23,3,13.0435,23,1,Low Risk
115,89,0,0,89,1,Low Risk
116,31,0,0,31,1,Low Risk
118,14,0,0,14,1,Low Risk
120,4,0,0,4,1,Low Risk
121,215,0,0,208,1.03,Medium Risk
122,122,0,0,122,1,Low Risk
123,10,0,0,10,1,Low Risk
124,21,0,0,21,1,Low Risk
125,73,0,0,73,1,Low Risk
127,42,0,0,42,1,Low Risk
128,150,0,0,146,1.03,Low Risk
130,95,0,0,95,1,Low Risk
134,339,1,0.295,328,1.03,Medium Risk
135,128,0,0,126,1.02,Low Risk
137,110,0,0,108,1.02,Low Risk
138,4,0,0,4,1,Low Risk
140,123,0,0,120,1.02,Low Risk
145,200,0,0,193,1.04,Low Risk
150,7,0,0,7,1,Low Risk
153,286,0,0,272,1.05,Medium Risk
160,3,0,0,3,1,Low Risk
171,1,0,0,1,1,Low Risk
173,83,0,0,83,1,Low Risk
174,3,0,0,3,1,Low Risk
178,291,0,0,282,1.03,Medium Risk
182,6,0,0,6,1,Low Risk
203,1,0,0,1,1,Low Risk
205,241,0,0,190,1.27,Medium Risk
208,6,0,0,6,1,Low Risk
210,3,0,0,3,1,Low Risk
211,50,0,0,49,1.02,Low Risk
212,67,0,0,67,1,Low Risk
213,50,9,18,49,1.02,Low Risk
215,94,1,1.0638,94,1,Low Risk
219,117,0,0,116,1.01,Low Risk
224,2,1,50,2,1,Low Risk
232,118,0,0,116,1.02,Low Risk
234,28,0,0,25,1.12,Low Risk
236,82,0,0,80,1.02,Low Risk
237,166,0,0,159,1.04,Low Risk
242,12,0,0,12,1,Low Risk
243,26,0,0,26,1,Low Risk
244,57,0,0,56,1.02,Low Risk
245,496,0,0,472,1.05,Medium Risk
253,3,0,0,3,1,Low Risk
258,53,0,0,52,1.02,Low Risk
259,297,0,0,287,1.03,Medium Risk
265,312,0,0,301,1.04,Medium Risk
266,59,0,0,58,1.02,Low Risk
274,3,1,33.3333,3,1,Low Risk
277,7,0,0,7,1,Low Risk
278,35,0,0,35,1,Low Risk
280,787,0,0,755,1.04,High Risk
282,3,1,33.3333,3,1,Low Risk
315,60,0,0,60,1,Low Risk
317,51,0,0,51,1,Low Risk
319,32,0,0,32,1,Low Risk
322,2,0,0,2,1,Low Risk
325,17,0,0,17,1,Low Risk
326,29,0,0,15,1.93,Low Risk
328,97,0,0,96,1.01,Low Risk
330,3,0,0,3,1,Low Risk
333,2,2,100,2,1,Low Risk
334,123,0,0,121,1.02,Low Risk
340,33,0,0,33,1,Low Risk
343,17,1,5.8824,17,1,Low Risk
347,47,1,2.1277,42,1.12,Low Risk
349,47,0,0,47,1,Low Risk
356,2,0,0,2,1,Low Risk
360,7,0,0,7,1,Low Risk
361,13,0,0,13,1,Low Risk
364,40,0,0,32,1.25,Low Risk
371,41,0,0,41,1,Low Risk
373,3,0,0,3,1,Low Risk
376,44,0,0,44,1,Low Risk
377,78,0,0,78,1,Low Risk
379,151,0,0,148,1.02,Low Risk
386,48,0,0,48,1,Low Risk
391,4,0,0,4,1,Low Risk
400,36,0,0,36,1,Low Risk
401,74,0,0,74,1,Low Risk
402,15,0,0,14,1.07,Low Risk
404,1,0,0,1,1,Low Risk
406,7,0,0,7,1,Low Risk
409,103,0,0,101,1.02,Low Risk
411,2,0,0,2,1,Low Risk
412,30,0,0,30,1,Low Risk
416,6,0,0,6,1,Low Risk
417,19,0,0,19,1,Low Risk
421,3,0,0,3,1,Low Risk
424,85,1,1.1765,84,1.01,Low Risk
430,45,0,0,44,1.02,Low Risk
435,112,0,0,109,1.03,Low Risk
439,145,0,0,144,1.01,Low Risk
442,218,0,0,206,1.06,Medium Risk
445,37,0,0,37,1,Low Risk
446,7,0,0,7,1,Low Risk
448,1,0,0,1,1,Low Risk
449,11,0,0,11,1,Low Risk
450,4,0,0,4,1,Low Risk
452,91,0,0,91,1,Low Risk
453,5,0,0,5,1,Low Risk
456,1,0,0,1,1,Low Risk
459,196,0,0,192,1.02,Low Risk
463,60,0,0,58,1.03,Low Risk
465,1,1,100,1,1,Low Risk
466,157,0,0,155,1.01,Low Risk
467,20,0,0,20,1,Low Risk
469,146,0,0,144,1.01,Low Risk
477,406,0,0,384,1.06,Medium Risk
478,31,0,0,31,1,Low Risk
479,2,0,0,2,1,Low Risk
480,156,0,0,156,1,Low Risk
481,40,0,0,40,1,Low Risk
484,10,0,0,10,1,Low Risk
487,22,0,0,22,1,Low Risk
488,2,0,0,2,1,Low Risk
489,163,0,0,161,1.01,Low Risk
490,5,0,0,5,1,Low Risk
496,15,0,0,15,1,Low Risk
497,29,0,0,29,1,Low Risk
