ip,app,device,os,channel,click_time,is_attributed,click_date,click_hour,click_dow
121845,15,1,16,3,2017-11-06 17:21:53 UTC,0,2017-11-06,17,Mon
58404,15,1,19,3,2017-11-06 19:46:53 UTC,0,2017-11-06,19,Mon
69489,15,1,19,3,2017-11-06 22:00:25 UTC,0,2017-11-06,22,Mon
68381,15,1,22,3,2017-11-06 23:00:52 UTC,0,2017-11-06,23,Mon
117050,15,1,25,3,2017-11-06 23:39:10 UTC,0,2017-11-06,23,Mon
147153,15,1,19,3,2017-11-07 00:01:52 UTC,0,2017-11-07,0,Tue
147164,15,1,10,3,2017-11-07 01:36:20 UTC,0,2017-11-07,1,Tue
50197,15,1,13,3,2017-11-07 01:39:55 UTC,0,2017-11-07,1,Tue
80437,15,1,19,3,2017-11-07 06:46:13 UTC,0,2017-11-07,6,Tue
105475,15,1,36,3,2017-11-07 09:35:12 UTC,0,2017-11-07,9,Tue
36213,15,1,18,3,2017-11-07 10:25:12 UTC,0,2017-11-07,10,Tue
103036,15,1,19,3,2017-11-07 12:34:57 UTC,0,2017-11-07,12,Tue
70280,15,1,13,3,2017-11-07 12:59:51 UTC,0,2017-11-07,12,Tue
103463,15,1,22,3,2017-11-07 16:33:48 UTC,0,2017-11-07,16,Tue
24700,15,1,19,3,2017-11-07 18:15:16 UTC,0,2017-11-07,18,Tue
81571,15,1,3,3,2017-11-07 23:06:39 UTC,0,2017-11-07,23,Tue
37919,15,1,25,3,2017-11-08 01:10:02 UTC,0,2017-11-08,1,Wed
18108,15,1,20,3,2017-11-08 03:51:28 UTC,0,2017-11-08,3,Wed
102118,15,1,22,3,2017-11-08 10:42:25 UTC,0,2017-11-08,10,Wed
6681,15,1,13,3,2017-11-08 10:47:34 UTC,0,2017-11-08,10,Wed
41172,15,1,19,3,2017-11-08 11:26:25 UTC,0,2017-11-08,11,Wed
14764,15,1,19,3,2017-11-08 13:40:22 UTC,0,2017-11-08,13,Wed
103090,15,1,22,3,2017-11-08 15:46:12 UTC,0,2017-11-08,15,Wed
111153,15,2,19,3,2017-11-08 17:14:36 UTC,0,2017-11-08,17,Wed
50136,15,1,19,3,2017-11-08 18:28:18 UTC,0,2017-11-08,18,Wed
119138,15,1,19,3,2017-11-09 00:39:35 UTC,0,2017-11-09,0,Thu
2076,15,1,19,3,2017-11-09 08:02:15 UTC,0,2017-11-09,8,Thu
317816,15,1,19,3,2017-11-09 08:21:07 UTC,0,2017-11-09,8,Thu
56313,15,1,41,3,2017-11-09 09:42:04 UTC,0,2017-11-09,9,Thu
39802,15,2,25,3,2017-11-09 11:10:16 UTC,0,2017-11-09,11,Thu
41172,15,1,19,3,2017-11-09 13:02:29 UTC,0,2017-11-09,13,Thu
32487,15,1,19,3,2017-11-09 13:10:06 UTC,0,2017-11-09,13,Thu
103036,15,1,6,3,2017-11-09 13:20:38 UTC,0,2017-11-09,13,Thu
44595,15,1,6,3,2017-11-09 13:23:53 UTC,0,2017-11-09,13,Thu
97684,15,1,13,3,2017-11-09 14:29:36 UTC,0,2017-11-09,14,Thu
111153,15,1,20,3,2017-11-09 14:36:58 UTC,0,2017-11-09,14,Thu
364625,45,1,18,5,2017-11-09 10:01:40 UTC,0,2017-11-09,10,Thu
21162,1,1,19,13,2017-11-08 02:23:49 UTC,0,2017-11-08,2,Wed
24932,1,1,13,13,2017-11-08 02:45:46 UTC,0,2017-11-08,2,Wed
23674,1,2,18,13,2017-11-08 02:56:01 UTC,0,2017-11-08,2,Wed
9923,1,1,13,13,2017-11-09 11:07:58 UTC,0,2017-11-09,11,Thu
352328,1,1,19,13,2017-11-09 11:52:49 UTC,0,2017-11-09,11,Thu
53964,1,1,46,13,2017-11-09 13:25:56 UTC,0,2017-11-09,13,Thu
301290,1,2,100,13,2017-11-09 13:41:13 UTC,0,2017-11-09,13,Thu
357463,1,2,100,13,2017-11-09 14:32:18 UTC,0,2017-11-09,14,Thu
66767,1,1,13,17,2017-11-07 00:57:08 UTC,0,2017-11-07,0,Tue
45609,1,1,17,17,2017-11-07 02:31:58 UTC,0,2017-11-07,2,Tue
159853,1,1,37,17,2017-11-07 09:26:59 UTC,0,2017-11-07,9,Tue
128610,1,1,8,17,2017-11-07 13:41:55 UTC,0,2017-11-07,13,Tue
108881,1,1,15,17,2017-11-07 14:28:50 UTC,0,2017-11-07,14,Tue
69034,1,1,13,17,2017-11-07 22:06:49 UTC,0,2017-11-07,22,Tue
43793,1,1,12,17,2017-11-08 14:52:48 UTC,0,2017-11-08,14,Wed
41313,1,1,13,17,2017-11-08 15:29:20 UTC,0,2017-11-08,15,Wed
280785,1,1,36,17,2017-11-09 00:34:15 UTC,0,2017-11-09,0,Thu
36395,1,1,14,17,2017-11-09 08:07:31 UTC,0,2017-11-09,8,Thu
297411,1,1,3,17,2017-11-09 12:52:35 UTC,0,2017-11-09,12,Thu
139907,3,1,13,19,2017-11-06 16:52:34 UTC,0,2017-11-06,16,Mon
9414,3,1,13,19,2017-11-06 17:26:55 UTC,0,2017-11-06,17,Mon
48240,3,1,10,19,2017-11-06 23:45:34 UTC,0,2017-11-06,23,Mon
34432,12,1,10,19,2017-11-07 00:38:44 UTC,0,2017-11-07,0,Tue
50689,3,1,19,19,2017-11-07 01:19:53 UTC,0,2017-11-07,1,Tue
17836,3,1,13,19,2017-11-07 01:32:01 UTC,0,2017-11-07,1,Tue
37559,12,1,13,19,2017-11-07 02:38:10 UTC,0,2017-11-07,2,Tue
32791,3,1,10,19,2017-11-07 05:35:45 UTC,0,2017-11-07,5,Tue
190767,3,1,19,19,2017-11-07 07:02:28 UTC,0,2017-11-07,7,Tue
122417,12,1,19,19,2017-11-07 07:21:56 UTC,0,2017-11-07,7,Tue
35040,12,1,23,19,2017-11-07 10:20:02 UTC,0,2017-11-07,10,Tue
24592,3,1,19,19,2017-11-07 10:30:37 UTC,0,2017-11-07,10,Tue
104397,12,1,37,19,2017-11-07 10:43:53 UTC,0,2017-11-07,10,Tue
31444,3,1,13,19,2017-11-07 11:18:16 UTC,0,2017-11-07,11,Tue
96832,12,1,7,19,2017-11-07 11:30:32 UTC,0,2017-11-07,11,Tue
59426,12,1,18,19,2017-11-07 11:31:15 UTC,0,2017-11-07,11,Tue
35951,3,1,13,19,2017-11-07 12:32:43 UTC,0,2017-11-07,12,Tue
53479,3,1,10,19,2017-11-07 12:40:18 UTC,0,2017-11-07,12,Tue
45467,12,1,19,19,2017-11-07 15:56:29 UTC,0,2017-11-07,15,Tue
162109,3,1,19,19,2017-11-07 21:51:25 UTC,0,2017-11-07,21,Tue
88785,3,1,37,19,2017-11-07 23:36:37 UTC,0,2017-11-07,23,Tue
117524,12,1,37,19,2017-11-08 00:20:11 UTC,0,2017-11-08,0,Wed
42861,12,1,8,19,2017-11-08 00:21:04 UTC,0,2017-11-08,0,Wed
69375,3,1,19,19,2017-11-08 00:49:22 UTC,0,2017-11-08,0,Wed
145549,3,1,19,19,2017-11-08 01:11:01 UTC,0,2017-11-08,1,Wed
43395,12,1,19,19,2017-11-08 05:01:39 UTC,0,2017-11-08,5,Wed
111299,3,1,19,19,2017-11-08 06:31:05 UTC,0,2017-11-08,6,Wed
17814,3,1,53,19,2017-11-08 07:05:25 UTC,0,2017-11-08,7,Wed
26934,3,1,13,19,2017-11-08 07:24:12 UTC,0,2017-11-08,7,Wed
69691,12,1,13,19,2017-11-08 09:05:10 UTC,0,2017-11-08,9,Wed
212034,3,1,13,19,2017-11-08 09:40:35 UTC,0,2017-11-08,9,Wed
20327,3,1,13,19,2017-11-08 10:05:57 UTC,0,2017-11-08,10,Wed
9886,12,1,13,19,2017-11-08 10:44:32 UTC,0,2017-11-08,10,Wed
91799,12,1,13,19,2017-11-08 10:53:14 UTC,0,2017-11-08,10,Wed
124128,3,1,35,19,2017-11-08 11:08:56 UTC,0,2017-11-08,11,Wed
81909,12,1,19,19,2017-11-08 11:29:07 UTC,0,2017-11-08,11,Wed
93808,3,1,19,19,2017-11-08 11:32:57 UTC,0,2017-11-08,11,Wed
26208,3,1,17,19,2017-11-08 14:26:21 UTC,0,2017-11-08,14,Wed
247965,3,1,13,19,2017-11-08 14:56:04 UTC,0,2017-11-08,14,Wed
4052,12,1,6,19,2017-11-08 16:38:19 UTC,0,2017-11-08,16,Wed
92852,12,1,19,19,2017-11-08 20:24:58 UTC,0,2017-11-08,20,Wed
260928,3,1,13,19,2017-11-08 21:35:25 UTC,0,2017-11-08,21,Wed
291006,3,1,32,19,2017-11-08 22:49:24 UTC,0,2017-11-08,22,Wed
328915,12,1,15,19,2017-11-09 01:05:48 UTC,0,2017-11-09,1,Thu
99897,12,1,13,19,2017-11-09 01:20:10 UTC,0,2017-11-09,1,Thu
111324,3,1,13,19,2017-11-09 01:57:50 UTC,0,2017-11-09,1,Thu
53632,12,1,19,19,2017-11-09 03:02:54 UTC,0,2017-11-09,3,Thu
336720,12,1,19,19,2017-11-09 03:41:42 UTC,0,2017-11-09,3,Thu
95064,12,1,15,19,2017-11-09 04:14:25 UTC,0,2017-11-09,4,Thu
162814,12,1,44,19,2017-11-09 05:45:58 UTC,0,2017-11-09,5,Thu
25299,3,1,3,19,2017-11-09 06:06:08 UTC,0,2017-11-09,6,Thu
125100,12,1,19,19,2017-11-09 06:21:16 UTC,0,2017-11-09,6,Thu
63483,12,1,25,19,2017-11-09 06:53:25 UTC,0,2017-11-09,6,Thu
118756,3,1,19,19,2017-11-09 07:00:29 UTC,0,2017-11-09,7,Thu
22006,3,1,22,19,2017-11-09 07:02:19 UTC,0,2017-11-09,7,Thu
19069,3,1,19,19,2017-11-09 07:07:41 UTC,0,2017-11-09,7,Thu
32745,12,1,13,19,2017-11-09 07:47:44 UTC,0,2017-11-09,7,Thu
334558,12,1,13,19,2017-11-09 10:22:12 UTC,0,2017-11-09,10,Thu
105148,12,1,14,19,2017-11-09 12:38:10 UTC,0,2017-11-09,12,Thu
29836,3,1,8,19,2017-11-09 13:59:51 UTC,0,2017-11-09,13,Thu
80827,12,1,3,19,2017-11-09 14:51:01 UTC,0,2017-11-09,14,Thu
38076,35,1,13,21,2017-11-07 01:22:23 UTC,1,2017-11-07,1,Tue
122145,37,1,19,21,2017-11-07 04:49:49 UTC,0,2017-11-07,4,Tue
60501,61,1,13,21,2017-11-07 07:48:27 UTC,0,2017-11-07,7,Tue
94240,74,1,19,21,2017-11-07 09:14:26 UTC,0,2017-11-07,9,Tue
34539,61,1,13,21,2017-11-07 09:39:39 UTC,0,2017-11-07,9,Tue
44582,37,1,17,21,2017-11-07 10:23:30 UTC,0,2017-11-07,10,Tue
83525,37,1,19,21,2017-11-07 12:56:27 UTC,0,2017-11-07,12,Tue
25158,35,1,31,21,2017-11-07 13:46:17 UTC,0,2017-11-07,13,Tue
53570,37,1,15,21,2017-11-07 16:36:18 UTC,0,2017-11-07,16,Tue
65785,37,1,3,21,2017-11-08 03:33:01 UTC,0,2017-11-08,3,Wed
164682,82,1,13,21,2017-11-08 06:06:21 UTC,0,2017-11-08,6,Wed
142483,62,1,19,21,2017-11-08 07:23:57 UTC,0,2017-11-08,7,Wed
92447,62,1,20,21,2017-11-08 09:46:20 UTC,0,2017-11-08,9,Wed
164253,35,1,19,21,2017-11-08 09:49:59 UTC,1,2017-11-08,9,Wed
55339,103,1,17,21,2017-11-08 23:22:36 UTC,0,2017-11-08,23,Wed
50129,35,1,19,21,2017-11-08 23:40:16 UTC,1,2017-11-08,23,Wed
47824,35,1,19,21,2017-11-09 03:58:40 UTC,1,2017-11-09,3,Thu
23714,37,1,18,21,2017-11-09 05:00:47 UTC,0,2017-11-09,5,Thu
2348,62,3866,866,21,2017-11-09 07:57:34 UTC,0,2017-11-09,7,Thu
44456,35,1,17,21,2017-11-09 10:22:50 UTC,0,2017-11-09,10,Thu
125436,1,1,18,24,2017-11-07 04:36:37 UTC,0,2017-11-07,4,Tue
207271,1,1,55,24,2017-11-07 08:22:58 UTC,0,2017-11-07,8,Tue
29101,1,1,13,24,2017-11-09 10:21:56 UTC,0,2017-11-09,10,Thu
315264,1,1,71,24,2017-11-09 13:26:01 UTC,0,2017-11-09,13,Thu
125385,18,1,13,30,2017-11-07 03:20:16 UTC,0,2017-11-07,3,Tue
58978,23,1,19,30,2017-11-08 02:56:52 UTC,0,2017-11-08,2,Wed
8964,18,2,18,30,2017-11-09 07:12:37 UTC,0,2017-11-09,7,Thu
55722,3,1,17,30,2017-11-09 07:19:52 UTC,0,2017-11-09,7,Thu
55722,3,2,13,30,2017-11-09 11:04:46 UTC,0,2017-11-09,11,Thu
48282,23,1,13,30,2017-11-09 11:22:51 UTC,0,2017-11-09,11,Thu
116831,3,1,15,30,2017-11-09 12:43:19 UTC,0,2017-11-09,12,Thu
48282,3,1,19,30,2017-11-09 13:39:28 UTC,0,2017-11-09,13,Thu
48240,3,1,19,30,2017-11-09 13:50:23 UTC,0,2017-11-09,13,Thu
116795,3,1,13,30,2017-11-09 14:40:34 UTC,0,2017-11-09,14,Thu
181311,7,1,37,101,2017-11-07 03:08:12 UTC,0,2017-11-07,3,Tue
193113,7,1,13,101,2017-11-07 05:17:55 UTC,0,2017-11-07,5,Tue
122744,7,1,25,101,2017-11-07 08:34:46 UTC,0,2017-11-07,8,Tue
132492,7,1,19,101,2017-11-07 08:42:16 UTC,0,2017-11-07,8,Tue
22037,7,1,19,101,2017-11-07 08:59:26 UTC,0,2017-11-07,8,Tue
110009,7,1,13,101,2017-11-07 09:55:18 UTC,0,2017-11-07,9,Tue
66463,7,1,19,101,2017-11-07 10:08:34 UTC,0,2017-11-07,10,Tue
39818,7,1,13,101,2017-11-07 10:08:37 UTC,0,2017-11-07,10,Tue
13516,7,1,58,101,2017-11-07 10:10:16 UTC,0,2017-11-07,10,Tue
148508,7,1,13,101,2017-11-07 10:11:11 UTC,0,2017-11-07,10,Tue
123623,7,2,19,101,2017-11-07 10:13:11 UTC,0,2017-11-07,10,Tue
11272,7,1,19,101,2017-11-07 10:18:28 UTC,0,2017-11-07,10,Tue
146001,7,1,19,101,2017-11-07 10:21:19 UTC,0,2017-11-07,10,Tue
7346,7,1,19,101,2017-11-07 10:21:38 UTC,0,2017-11-07,10,Tue
22237,7,1,22,101,2017-11-07 10:23:26 UTC,0,2017-11-07,10,Tue
116708,7,1,13,101,2017-11-07 10:27:44 UTC,0,2017-11-07,10,Tue
36349,7,1,13,101,2017-11-07 10:37:16 UTC,0,2017-11-07,10,Tue
10760,7,1,48,101,2017-11-07 10:41:55 UTC,0,2017-11-07,10,Tue
47118,7,1,15,101,2017-11-07 10:42:52 UTC,0,2017-11-07,10,Tue
116001,7,1,10,101,2017-11-07 10:44:49 UTC,0,2017-11-07,10,Tue
31784,72,1,19,101,2017-11-07 11:11:16 UTC,0,2017-11-07,11,Tue
66066,7,1,27,101,2017-11-07 11:16:40 UTC,0,2017-11-07,11,Tue
48240,7,2,9,101,2017-11-07 11:21:04 UTC,0,2017-11-07,11,Tue
41227,7,1,1,101,2017-11-07 11:21:33 UTC,0,2017-11-07,11,Tue
151044,7,1,18,101,2017-11-07 11:22:33 UTC,0,2017-11-07,11,Tue
43537,7,1,19,101,2017-11-07 11:23:38 UTC,0,2017-11-07,11,Tue
81013,7,1,19,101,2017-11-07 11:29:34 UTC,0,2017-11-07,11,Tue
55430,7,1,10,101,2017-11-07 11:38:36 UTC,0,2017-11-07,11,Tue
5348,7,1,9,101,2017-11-07 11:45:27 UTC,0,2017-11-07,11,Tue
212579,7,1,32,101,2017-11-07 14:17:20 UTC,0,2017-11-07,14,Tue
97463,7,1,22,101,2017-11-07 23:20:09 UTC,0,2017-11-07,23,Tue
218035,19,21,24,101,2017-11-07 23:32:19 UTC,0,2017-11-07,23,Tue
100182,7,2,19,101,2017-11-07 23:40:45 UTC,0,2017-11-07,23,Tue
68568,4,1,13,101,2017-11-08 02:12:30 UTC,0,2017-11-08,2,Wed
