ip,distinct_devices,distinct_os,distinct_apps,total_clicks,total_conversions,cvr_percent,masking_flag
105475,2,15,11,22,0,0,Normal
36213,2,8,2,8,0,0,Normal
103036,2,4,3,4,0,0,Normal
111153,2,3,3,4,0,0,Normal
44595,2,5,4,5,0,0,Normal
97684,2,2,2,3,0,0,Normal
23674,2,3,3,3,0,0,Normal
43793,2,8,9,13,0,0,Normal
48240,2,6,4,12,0,0,Normal
53479,2,8,5,8,0,0,Normal
4052,2,7,6,8,0,0,Normal
65785,2,4,4,4,0,0,Normal
2348,2,2,2,2,0,0,Normal
55722,2,2,1,2,0,0,Normal
48282,2,9,7,12,0,0,Normal
146001,2,2,2,2,0,0,Normal
5348,4,33,21,76,0,0,Likely Device Masking / Botnet
100182,2,2,5,5,0,0,Normal
114678,2,2,2,2,0,0,Normal
5178,2,10,11,14,0,0,Normal
29346,2,2,2,2,0,0,Normal
59125,2,2,3,5,0,0,Normal
71071,2,2,2,2,0,0,Normal
20362,2,2,2,2,0,0,Normal
112302,2,5,5,6,0,0,Normal
24876,2,2,2,2,0,0,Normal
85644,2,2,2,2,0,0,Normal
67439,2,3,2,4,0,0,Normal
44494,2,4,2,5,0,0,Normal
39782,2,5,5,5,0,0,Normal
73487,2,19,9,36,0,0,Normal
125222,2,8,10,13,0,0,Normal
119369,2,6,7,7,0,0,Normal
124136,2,2,2,2,0,0,Normal
79787,3,4,4,4,0,0,Suspicious
81138,2,2,2,2,0,0,Normal
12506,2,3,3,3,0,0,Normal
22978,2,4,4,5,0,0,Normal
95766,2,16,11,30,0,0,Normal
88971,2,2,2,2,0,0,Normal
106883,2,2,2,3,0,0,Normal
92766,2,9,5,10,0,0,Normal
2334,2,2,2,2,0,0,Normal
49602,2,5,6,8,0,0,Normal
95820,2,3,5,5,0,0,Normal
53454,2,12,10,24,0,0,Normal
32453,3,3,3,3,0,0,Suspicious
48518,2,2,2,2,0,0,Normal
46516,2,2,2,2,0,0,Normal
7709,2,2,2,2,0,0,Normal
126371,2,2,2,2,0,0,Normal
10410,2,2,2,2,0,0,Normal
925,2,4,5,5,0,0,Normal
34520,2,2,2,2,0,0,Normal
114276,2,13,10,32,0,0,Normal
102280,2,4,3,4,0,0,Normal
5314,3,25,18,62,0,0,Suspicious
105654,2,2,2,2,0,0,Normal
48170,2,5,6,8,0,0,Normal
44067,2,3,4,6,0,0,Normal
26995,2,11,10,16,0,0,Normal
42139,2,3,3,4,0,0,Normal
119289,3,7,7,9,0,0,Suspicious
119375,2,2,2,2,0,0,Normal
99856,3,3,3,3,0,0,Suspicious
119531,2,6,5,8,0,0,Normal
173141,2,3,3,3,0,0,Normal
37763,2,4,3,4,0,0,Normal
66240,2,2,2,2,0,0,Normal
117898,2,2,4,4,0,0,Normal
115445,2,3,2,3,0,0,Normal
6313,2,2,2,2,0,0,Normal
92735,2,3,4,5,0,0,Normal
107155,2,4,5,5,0,0,Normal
102206,2,2,2,2,0,0,Normal
116425,2,2,2,2,0,0,Normal
44744,2,3,6,9,0,0,Normal
17149,3,10,10,18,1,5.5556,Suspicious
40077,2,2,2,2,0,0,Normal
25009,2,2,3,3,0,0,Normal
48212,2,8,7,11,0,0,Normal
221694,2,1,2,2,0,0,Normal
100971,2,4,4,5,0,0,Normal
138561,2,4,6,6,0,0,Normal
59395,2,3,3,3,0,0,Normal
50169,2,3,4,4,0,0,Normal
92673,2,4,4,5,0,0,Normal
124446,2,2,2,2,0,0,Normal
73516,2,15,10,36,0,0,Normal
37948,2,2,3,3,0,0,Normal
93021,2,5,5,11,0,0,Normal
37972,2,5,5,5,0,0,Normal
41666,2,3,3,3,0,0,Normal
220589,2,2,2,2,0,0,Normal
37515,2,4,3,4,0,0,Normal
91574,2,4,2,5,0,0,Normal
107008,2,2,2,2,0,0,Normal
77048,2,6,7,7,0,0,Normal
106598,2,4,4,5,0,0,Normal
40067,2,2,2,2,0,0,Normal
53960,2,5,2,7,0,0,Normal
124574,2,1,2,2,0,0,Normal
15365,2,2,2,2,0,0,Normal
81514,2,2,2,2,0,0,Normal
91611,2,2,4,4,0,0,Normal
18703,2,4,3,4,0,0,Normal
40022,2,3,3,3,0,0,Normal
19216,2,2,2,2,0,0,Normal
105560,3,9,9,14,0,0,Suspicious
25097,2,4,4,5,0,0,Normal
63790,2,1,2,2,0,0,Normal
41082,2,2,2,2,0,0,Normal
3994,2,5,6,8,0,0,Normal
81837,2,2,2,2,0,0,Normal
42190,2,3,3,3,0,0,Normal
14737,2,4,3,6,0,0,Normal
102025,2,4,3,4,0,0,Normal
82843,2,3,3,3,0,0,Normal
49462,2,3,3,3,0,0,Normal
179199,2,2,2,2,0,0,Normal
4573,2,2,2,2,0,0,Normal
26814,2,6,5,6,0,0,Normal
32290,2,2,2,2,0,0,Normal
70522,2,3,3,3,0,0,Normal
63840,2,2,2,2,0,0,Normal
54524,2,3,2,4,0,0,Normal
67779,2,2,1,2,0,0,Normal
835,2,3,3,3,0,0,Normal
2770,3,4,3,4,0,0,Suspicious
106972,2,2,2,2,0,0,Normal
99944,2,4,3,4,0,0,Normal
101941,2,2,2,2,0,0,Normal
47148,2,2,2,2,0,0,Normal
103411,2,2,1,2,0,0,Normal
123788,2,3,2,3,0,0,Normal
25553,2,3,3,3,0,0,Normal
197271,2,2,1,2,0,0,Normal
44527,2,4,4,5,0,0,Normal
47273,2,3,2,3,0,0,Normal
90521,2,2,2,2,0,0,Normal
201182,2,8,6,11,0,0,Normal
50512,2,4,4,4,0,0,Normal
137052,2,8,7,10,0,0,Normal
105649,2,5,3,5,0,0,Normal
48296,2,2,2,2,0,0,Normal
121505,2,2,3,3,0,0,Normal
30614,2,2,2,2,0,0,Normal
62803,2,2,2,2,0,0,Normal
93542,2,3,3,3,0,0,Normal
101250,2,2,2,2,0,0,Normal
52024,2,4,3,5,0,0,Normal
147957,2,3,4,4,0,0,Normal
110354,3,3,3,3,0,0,Suspicious
30587,2,4,4,5,0,0,Normal
106511,2,1,2,2,0,0,Normal
105603,2,5,3,5,0,0,Normal
118229,2,3,3,3,0,0,Normal
101074,3,6,5,7,0,0,Suspicious
63762,2,2,1,2,0,0,Normal
105292,2,5,4,5,0,0,Normal
105519,2,2,3,3,0,0,Normal
36150,2,5,3,5,0,0,Normal
20215,2,5,5,5,0,0,Normal
91232,2,3,2,3,0,0,Normal
20411,2,2,2,2,0,0,Normal
39756,2,3,1,3,0,0,Normal
105433,2,4,2,4,0,0,Normal
209663,2,5,5,9,0,0,Normal
114490,2,2,1,3,0,0,Normal
114904,2,4,1,5,0,0,Normal
91536,2,3,2,3,0,0,Normal
108341,2,4,3,5,0,0,Normal
60163,2,2,1,2,0,0,Normal
109743,2,3,3,4,0,0,Normal
114878,2,3,3,3,0,0,Normal
79909,2,5,2,5,0,0,Normal
36183,3,3,3,3,0,0,Suspicious
73671,2,2,2,2,0,0,Normal
24404,2,2,2,2,0,0,Normal
93263,2,3,3,3,0,0,Normal
12874,2,2,2,2,0,0,Normal
30564,2,4,3,4,0,0,Normal
114314,2,6,5,10,0,0,Normal
1074,2,4,3,4,0,0,Normal
78124,2,2,2,2,0,0,Normal
121979,2,2,2,2,0,0,Normal
24951,2,2,2,2,0,0,Normal
8356,2,2,2,2,0,0,Normal
78910,2,2,2,2,0,0,Normal
114802,2,2,3,3,0,0,Normal
90655,2,2,2,2,0,0,Normal
27388,2,2,2,2,0,0,Normal
61168,2,2,1,2,0,0,Normal
37774,2,3,2,3,0,0,Normal
90509,2,3,4,5,0,0,Normal
103147,2,2,4,4,0,0,Normal
52043,2,3,3,4,0,0,Normal
85150,2,6,4,6,0,0,Normal
18332,2,4,2,4,0,0,Normal
106524,2,4,4,4,0,0,Normal
72936,2,2,2,2,0,0,Normal
48671,2,4,3,4,0,0,Normal
42103,2,3,2,3,0,0,Normal
33008,2,2,2,2,0,0,Normal
4295,2,2,2,2,0,0,Normal
41261,2,2,2,2,0,0,Normal
58472,2,3,3,3,0,0,Normal
8401,2,2,2,2,0,0,Normal
106362,2,2,2,2,0,0,Normal
