ip,app,device,os,channel,click_time,is_attributed,click_datetime,click_date,click_hour,click_dow
106385,12,1,19,178,2017-11-08 6:30:54,0,11/8/2017 6:30:54,2017-11-08,6,Wed
114066,3,1,13,489,2017-11-07 7:51:29,0,11/7/2017 7:51:29,2017-11-07,7,Tue
189805,12,1,23,105,2017-11-07 12:30:07,0,11/7/2017 12:30:07,2017-11-07,12,Tue
107100,18,1,20,107,2017-11-08 4:31:19,0,11/8/2017 4:31:19,2017-11-08,4,Wed
5314,3,1,19,409,2017-11-07 11:21:29,0,11/7/2017 11:21:29,2017-11-07,11,Tue
48996,3,1,19,205,2017-11-07 3:38:20,0,11/7/2017 3:38:20,2017-11-07,3,Tue
83698,26,1,19,266,2017-11-09 5:01:42,0,11/9/2017 5:01:42,2017-11-09,5,Thu
5147,22,1,15,116,2017-11-09 8:38:30,0,11/9/2017 8:38:30,2017-11-09,8,Thu
145086,12,1,22,242,2017-11-07 6:30:30,0,11/7/2017 6:30:30,2017-11-07,6,Tue
61400,3,1,18,137,2017-11-08 23:58:43,0,11/8/2017 23:58:43,2017-11-08,23,Wed
66371,23,1,19,153,2017-11-07 14:29:15,0,11/7/2017 14:29:15,2017-11-07,14,Tue
73339,11,1,19,487,2017-11-09 2:44:56,0,11/9/2017 2:44:56,2017-11-09,2,Thu
208618,14,1,13,439,2017-11-08 20:34:03,0,11/8/2017 20:34:03,2017-11-08,20,Wed
83260,12,1,13,265,2017-11-08 8:33:44,0,11/8/2017 8:33:44,2017-11-08,8,Wed
7567,1,1,53,150,2017-11-07 16:02:32,0,11/7/2017 16:02:32,2017-11-07,16,Tue
3994,9,1,19,244,2017-11-09 10:59:09,0,11/9/2017 10:59:09,2017-11-09,10,Thu
45362,15,1,28,315,2017-11-07 16:38:09,0,11/7/2017 16:38:09,2017-11-07,16,Tue
85172,15,1,13,315,2017-11-08 23:12:06,0,11/8/2017 23:12:06,2017-11-08,23,Wed
137258,21,1,8,232,2017-11-09 1:49:02,0,11/9/2017 1:49:02,2017-11-09,1,Thu
103132,1,1,22,377,2017-11-07 1:10:54,0,11/7/2017 1:10:54,2017-11-07,1,Tue
25039,1,1,32,452,2017-11-09 12:12:18,0,11/9/2017 12:12:18,2017-11-09,12,Thu
19537,3,1,47,442,2017-11-07 3:20:32,0,11/7/2017 3:20:32,2017-11-07,3,Tue
98380,25,1,9,259,2017-11-07 14:45:33,0,11/7/2017 14:45:33,2017-11-07,14,Tue
13963,18,1,3,134,2017-11-07 2:39:45,0,11/7/2017 2:39:45,2017-11-07,2,Tue
86767,9,1,8,244,2017-11-08 4:00:35,0,11/8/2017 4:00:35,2017-11-08,4,Wed
18994,15,1,19,245,2017-11-06 23:37:20,0,11/6/2017 23:37:20,2017-11-06,23,Mon
211425,2,1,41,219,2017-11-07 2:58:40,0,11/7/2017 2:58:40,2017-11-07,2,Tue
38300,12,1,19,178,2017-11-07 23:29:34,0,11/7/2017 23:29:34,2017-11-07,23,Tue
75504,2,1,19,237,2017-11-08 7:25:23,0,11/8/2017 7:25:23,2017-11-08,7,Wed
90607,14,1,13,379,2017-11-09 5:01:14,0,11/9/2017 5:01:14,2017-11-09,5,Thu
120361,14,1,14,401,2017-11-07 7:21:39,0,11/7/2017 7:21:39,2017-11-07,7,Tue
100408,12,1,19,140,2017-11-09 5:05:13,0,11/9/2017 5:05:13,2017-11-09,5,Thu
196790,3,1,19,137,2017-11-08 8:44:16,0,11/8/2017 8:44:16,2017-11-08,8,Wed
77048,12,1,36,265,2017-11-08 2:34:34,0,11/8/2017 2:34:34,2017-11-08,2,Wed
87653,18,1,19,121,2017-11-09 0:34:39,0,11/9/2017 0:34:39,2017-11-09,0,Thu
112442,14,1,18,379,2017-11-07 20:15:17,0,11/7/2017 20:15:17,2017-11-07,20,Tue
4573,2,1,19,236,2017-11-09 6:52:43,0,11/9/2017 6:52:43,2017-11-09,6,Thu
112215,14,1,13,401,2017-11-07 3:41:09,0,11/7/2017 3:41:09,2017-11-07,3,Tue
17149,12,1,22,140,2017-11-07 13:24:16,0,11/7/2017 13:24:16,2017-11-07,13,Tue
8964,18,2,18,30,2017-11-09 7:12:37,0,11/9/2017 7:12:37,2017-11-09,7,Thu
79827,15,1,18,245,2017-11-07 14:48:18,0,11/7/2017 14:48:18,2017-11-07,14,Tue
37161,18,1,13,121,2017-11-08 10:36:43,0,11/8/2017 10:36:43,2017-11-08,10,Wed
118930,94,1,19,361,2017-11-08 2:38:37,0,11/8/2017 2:38:37,2017-11-08,2,Wed
70551,21,1,53,128,2017-11-07 0:53:50,0,11/7/2017 0:53:50,2017-11-07,0,Tue
280687,3,1,17,135,2017-11-09 8:10:36,0,11/9/2017 8:10:36,2017-11-09,8,Thu
24951,9,1,37,466,2017-11-08 12:30:06,0,11/8/2017 12:30:06,2017-11-08,12,Wed
17077,26,1,31,477,2017-11-08 23:49:50,0,11/8/2017 23:49:50,2017-11-08,23,Wed
88772,14,1,22,489,2017-11-07 4:25:40,0,11/7/2017 4:25:40,2017-11-07,4,Tue
127628,12,1,13,259,2017-11-09 8:33:05,0,11/9/2017 8:33:05,2017-11-09,8,Thu
166206,9,1,13,232,2017-11-09 12:46:34,0,11/9/2017 12:46:34,2017-11-09,12,Thu
59763,20,1,19,478,2017-11-09 2:38:37,0,11/9/2017 2:38:37,2017-11-09,2,Thu
31463,12,1,16,328,2017-11-09 10:12:29,0,11/9/2017 10:12:29,2017-11-09,10,Thu
87349,12,1,13,328,2017-11-07 21:04:49,0,11/7/2017 21:04:49,2017-11-07,21,Tue
7664,3,1,47,280,2017-11-07 4:20:35,0,11/7/2017 4:20:35,2017-11-07,4,Tue
32130,3,1,53,280,2017-11-07 1:11:53,0,11/7/2017 1:11:53,2017-11-07,1,Tue
116785,26,1,13,121,2017-11-07 12:44:13,0,11/7/2017 12:44:13,2017-11-07,12,Tue
213380,29,1,19,347,2017-11-09 12:58:44,0,11/9/2017 12:58:44,2017-11-09,12,Thu
7210,3,1,10,280,2017-11-08 11:33:38,0,11/8/2017 11:33:38,2017-11-08,11,Wed
120753,9,1,8,334,2017-11-08 5:20:28,0,11/8/2017 5:20:28,2017-11-08,5,Wed
31572,26,1,19,266,2017-11-09 14:14:48,0,11/9/2017 14:14:48,2017-11-09,14,Thu
120962,12,1,13,245,2017-11-06 17:04:32,0,11/6/2017 17:04:32,2017-11-06,17,Mon
24067,2,1,16,237,2017-11-09 2:47:07,0,11/9/2017 2:47:07,2017-11-09,2,Thu
53964,3,1,18,280,2017-11-08 2:40:50,0,11/8/2017 2:40:50,2017-11-08,2,Wed
112816,13,1,13,477,2017-11-09 1:42:38,0,11/9/2017 1:42:38,2017-11-09,1,Thu
11852,1,1,19,125,2017-11-07 10:52:55,0,11/7/2017 10:52:55,2017-11-07,10,Tue
71093,3,1,30,173,2017-11-07 12:15:50,0,11/7/2017 12:15:50,2017-11-07,12,Tue
65716,23,1,13,153,2017-11-09 3:05:33,0,11/9/2017 3:05:33,2017-11-09,3,Thu
